VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4211652,2643,-0.33,33.49,99.56,44.27,0.11,100,53.96,489.31,9.16,6.6,23.62,6.57,2065,14.67,0.39,84.54,50649.44,17.42
4211702,23661,0.84,75.18,80.37,78.16,66.19,99.89,90.02,1249.47,10.07,3.34,37.11,9.22,11829,12.31,0.45,86.72,51296.22,43.03
4211751,17312,0.48,91.15,90.25,91.82,72.41,99.68,97.97,985.78,9.88,5.74,42.97,10.85,8187,15.7,0.4,83.62,51975.52,20.43
4211801,7032,-0.4,65.71,90.14,73.65,33.91,99.89,92.59,986.91,10.98,4.14,35.86,8.59,4690,11.33,0.45,87.66,34837.08,32.93
4211850,2181,-0.34,31.48,98.35,48.41,1.27,100,70.65,809.85,9.63,17.8,36.96,12.14,859,20.53,0.53,79.52,62475.82,11.57
4211876,1927,0.74,19.06,99.28,60.69,0.58,98.7,72.11,669.32,9.56,8.48,27.22,5.77,1116,14.55,0.44,84.65,40380.45,22.39
4211892,2215,-0.5,40.16,99.05,43.76,23.42,99.17,84.78,442.09,10.7,13.56,24.09,7.44,1222,18.57,0.49,81.14,36111.89,3
4211900,222598,4.11,98.53,66.55,92.7,54.98,99.79,99.69,1433.71,9.83,2.18,44.91,8.78,78134,13.87,0.4,86.06,45940.71,563.75
4212007,7605,-0.17,57.54,98.31,79.3,0.47,99.71,90.33,597.1,10.77,13.17,27.79,8.58,4670,19.38,0.5,80.46,45384.13,22.98
4212056,2561,0.64,38.98,99.17,48.85,36.67,99.06,93.23,520.03,8.66,14.95,27.75,6.71,1260,16.54,0.43,82.88,70290.94,8.86
4212106,15626,-0.21,61.62,92.29,77.05,0.83,99.87,76.7,971.98,11.39,4.37,31.58,8.59,9863,15.68,0.46,83.63,56599.05,44.51
4212205,19150,0.48,51.23,96.8,59.34,53.57,98.23,79.28,697.78,9.31,10.8,28.95,6.11,10455,15.61,0.47,83.69,43734.95,25.04
4212239,4267,0.37,35.56,98.6,42.12,0.06,99.43,78.59,475.66,11.83,10.16,23.71,5.66,2569,15.89,0.5,83.44,43632.07,23.66
4212254,12897,5.71,88.62,94.48,59.76,3.2,99.98,99.81,831.02,10.57,8.29,38.46,5.84,3446,12.62,0.42,86.43,25600.25,139.22
4212270,4034,-0.77,24.84,98.5,46.75,6.13,99.93,65.22,486.52,8.35,19,27.15,6.47,2470,18.54,0.47,81.16,43019.07,6.54
4212304,9063,2.56,72.03,95.48,55.66,2.1,99.82,98.15,755.99,10.88,5.37,32.26,6.66,3094,12.94,0.4,86.13,32715.7,20.31
