id_municipio,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
3138401,1113027,113923,74611,82167,600948,241377
3138708,149070,4968,71845,8409,33571,30278
3153301,36194,1168,2048,1009,10359,21610
3163508,99911,6224,22200,13827,25624,32036
3166303,104985,3813,31449,6952,26346,36424
3102308,340215,46105,35149,88914,104082,65965
3102605,1183812,139032,128329,255229,463746,197477
3109501,290843,14927,102850,21579,85783,65704
3109709,537009,61551,46309,253145,117959,58045
3114907,69241,1301,37940,1752,11969,16280
3116605,1118680,169410,63594,345771,397107,142797
3125804,45856,1958,6668,1667,13786,21777
3134707,131584,4638,17446,6492,43038,59970
3143500,541171,20470,334820,28802,100018,57060
3145406,31909,818,5695,810,9217,15370
3149507,62540,4103,4283,14613,17054,22487
3149804,1629092,132930,864212,219652,319869,92430
3150307,110401,4872,43675,8531,29219,24103
3150703,403824,47712,104949,106771,105833,38559
3151107,639090,125391,10550,291710,152464,58975
3159407,61761,2206,22112,2159,13534,21750
3161056,43895,1835,5808,2052,12791,21410
3162203,268158,15134,109263,29846,64809,49105
3165552,122686,3465,37906,3020,24493,53802
3167202,12659740,2188640,36541,4826059,4366717,1241784
3171006,1168648,106851,294442,368094,289597,109664
3171808,183953,11956,32383,6475,80303,52835
